Site,Date,EnteroCount,FourDayRainTotal,SampleCount,EnteroCount1
Furnace Brook,6/28/2007,10,0.7,48,10
Furnace Brook,8/21/2009,10,0,48,10
Cedar Pond Brook,10/21/2008,10,0,47,10
Cedar Pond Brook,10/20/2009,10,0,47,10
Cedar Pond Brook,8/15/2013,10,1.1,47,10
Cedar Pond Brook,6/20/2013,10,0.5,47,10
Cedar Pond Brook,7/17/2012,10,0.2,47,10
Cedar Pond Brook,6/12/2012,10,0.5,47,10
Cedar Pond Brook,6/28/2011,10,0,47,10
Cedar Pond Brook,6/16/2010,10,0,47,10
Haverstraw Bay mid-channel,10/20/2009,10,0,48,10
Haverstraw Bay mid-channel,9/19/2013,10,0,48,10
Haverstraw Bay mid-channel,8/15/2013,10,1.1,48,10
Haverstraw Bay mid-channel,8/21/2009,10,0,48,10
Haverstraw Bay mid-channel,6/23/2009,10,0.7,48,10
Haverstraw Bay mid-channel,7/17/2012,10,0.2,48,10
Haverstraw Bay mid-channel,6/12/2012,10,0.5,48,10
Haverstraw Bay mid-channel,6/20/2013,10,0.5,48,10
Emeline Beach- Haverstraw,10/20/2009,10,0,38,10
Emeline Beach- Haverstraw,10/21/2008,10,0,38,10
Emeline Beach- Haverstraw,6/23/2009,10,0.7,38,10
Emeline Beach- Haverstraw,7/29/2009,10,0.8,38,10
Emeline Beach- Haverstraw,5/22/2010,10,0,38,10
Emeline Beach- Haverstraw,8/18/2010,10,0.5,38,10
Emeline Beach- Haverstraw,10/13/2010,10,0.3,38,10
Emeline Beach- Haverstraw,8/17/2011,10,3.4,38,10
Emeline Beach- Haverstraw,6/12/2012,10,0.5,38,10
Emeline Beach- Haverstraw,7/18/2013,10,0,38,10
Emeline Beach- Haverstraw,8/15/2013,10,1.1,38,10
Croton Point Beach,10/20/2006,10,1.6,48,10
Croton Point Beach,7/18/2013,10,0,48,10
Croton Point Beach,10/20/2009,10,0,48,10
Croton Point Beach,8/18/2010,10,0.5,48,10
Croton Point Beach,10/13/2010,10,0.3,48,10
Croton Point Beach,7/18/2011,10,0,48,10
Croton Point Beach,8/17/2011,10,3.4,48,10
Croton Point Beach,6/12/2012,10,0.5,48,10
Croton Point Beach,10/11/2012,10,0.1,48,10
Croton Point Beach,9/19/2013,10,0,48,10
Croton Point Beach,10/17/2013,10,0,48,10
Ossining Beach,7/15/2008,10,1.1,47,10
Ossining Beach,5/13/2009,10,0,47,10
Ossining Beach,8/21/2009,10,0,47,10
Ossining Beach,5/22/2010,10,0,47,10
Ossining Beach,6/16/2010,10,0,47,10
Ossining Beach,9/12/2010,10,0,47,10
Ossining Beach,9/11/2012,10,1.4,47,10
Ossining Beach,6/20/2013,10,0.5,47,10
Ossining Beach,7/18/2013,10,0,47,10
Ossining Beach,9/19/2013,10,0,47,10
Kingsland Pt. Park- Pocantico River,6/6/2009,10,1.6,42,10
Kingsland Pt. Park- Pocantico River,5/22/2010,10,0,42,10
Kingsland Pt. Park- Pocantico River,9/12/2010,10,0,42,10
Kingsland Pt. Park- Pocantico River,10/11/2012,10,0.1,42,10
Kingsland Pt. Park- Pocantico River,5/30/2013,10,0.4,42,10
Kingsland Pt. Park- Pocantico River,6/20/2013,10,0.5,42,10
Nyack Launch Ramp,5/30/2013,10,0.4,61,10
Nyack Launch Ramp,9/11/2012,10,1.4,61,10
Nyack Launch Ramp,8/14/2012,10,0,61,10
Nyack Launch Ramp,4/9/2012,10,0,61,10
Nyack Launch Ramp,11/7/2011,10,0,61,10
Nyack Launch Ramp,8/17/2011,10,3.4,61,10
Nyack Launch Ramp,6/28/2011,10,0,61,10
Nyack Launch Ramp,7/22/2010,10,1.5,61,10
TZ Bridge mid-channel,10/13/2010,10,0.3,57,10
TZ Bridge mid-channel,10/21/2008,10,0,57,10
TZ Bridge mid-channel,9/19/2013,10,0,57,10
Tarrytown Marina,9/11/2012,10,1.4,27,10
Tarrytown Marina,8/14/2012,10,0,27,10
Tarrytown Marina,7/17/2012,10,0.2,27,10
Tarrytown Marina,8/21/2008,10,0,27,10
Tarrytown Marina,8/18/2010,10,0.5,27,10
Piermont Pier,5/22/2010,10,0,187,10
Piermont Pier,6/8/2010,10,0.3,187,10
Piermont Pier,6/16/2010,10,0,187,10
Piermont Pier,6/21/2010,10,0,187,10
Piermont Pier,7/6/2010,10,0,187,10
Piermont Pier,9/12/2010,10,0,187,10
Piermont Pier,6/2/2011,10,0.2,187,10
Piermont Pier,5/30/2013,10,0.4,187,10
Piermont Pier,7/18/2013,10,0,187,10
Piermont Pier,9/19/2013,10,0,187,10
Piermont Pier,7/29/2009,10,0.2,187,10
Piermont Pier,7/13/2009,10,0.2,187,10
Piermont Pier,9/23/2008,10,0,187,10
Piermont Pier,6/28/2011,10,0,187,10
Piermont Pier,5/16/2008,10,0.9,187,10
Orangetown STP Outfall,5/30/2013,10,0.4,57,10
Orangetown STP Outfall,9/11/2012,10,1.4,57,10
Orangetown STP Outfall,8/14/2012,10,0,57,10
Orangetown STP Outfall,10/20/2011,10,0.1,57,10
Orangetown STP Outfall,6/28/2011,10,0,57,10
Irvington Beach,8/15/2013,10,1.1,36,10
Irvington Beach,6/20/2013,10,0.5,36,10
Irvington Beach,8/14/2012,10,0,36,10
Irvington Beach,6/12/2012,10,0,36,10
Irvington Beach,8/18/2010,10,0.5,36,10
Irvington Beach,10/20/2009,10,0,36,10
Irvington Beach,9/15/2009,10,0,36,10
Irvington Beach,10/21/2008,10,0,36,10
Irvington Beach,10/19/2008,10,0,36,10
Upper Sparkill Creek,2/26/2009,10,0,165,10
Yonkers mid-channel,9/23/2008,10,0,52,10
Yonkers mid-channel,5/13/2009,10,0,52,10
Yonkers mid-channel,9/12/2010,10,0,52,10
Yonkers mid-channel,10/13/2010,10,1.2,52,10
Yonkers mid-channel,9/18/2013,10,0,52,10
Yonkers mid-channel,8/17/2011,10,6.4,52,10
Yonkers mid-channel,6/19/2013,10,0.2,52,10
Yonkers mid-channel,8/14/2013,10,1,52,10
Saw Mill River,5/16/2012,10,0.6,50,10
Saw Mill River,7/18/2011,10,0,50,10
Saw Mill River,8/21/2009,10,0.6,50,10
Saw Mill River,6/6/2009,10,1.9,50,10
Saw Mill River,10/21/2008,10,0,50,10
Saw Mill River,10/19/2008,10,0,50,10
Yonkers STP Outfall,5/16/2012,10,0.6,51,10
Yonkers STP Outfall,9/12/2010,10,0,51,10
Yonkers STP Outfall,10/19/2009,10,0.4,51,10
Yonkers STP Outfall,6/6/2009,10,1.9,51,10
Yonkers STP Outfall,5/13/2009,10,0,51,10
Yonkers STP Outfall,8/19/2008,10,0,51,10
Yonkers STP Outfall,10/20/2008,10,0,51,10
Dyckman Street Beach,5/15/2012,10,0.5,38,10
Dyckman Street Beach,8/19/2008,10,0,38,10
Dyckman Street Beach,10/20/2008,10,0,38,10
Dyckman Street Beach,8/14/2013,10,1,38,10
Dyckman Street Beach,9/18/2013,10,0,38,10
Dyckman Street Beach,10/16/2013,10,0,38,10
Dyckman Street Beach,10/19/2009,10,0.4,38,10
GW Bridge mid-channel,5/12/2009,10,0.6,49,10
GW Bridge mid-channel,9/10/2012,10,0.4,49,10
GW Bridge mid-channel,5/15/2012,10,0.5,49,10
GW Bridge mid-channel,6/15/2010,10,0.3,49,10
GW Bridge mid-channel,10/19/2009,10,0.4,49,10
Harlem River- Washington Bridge,10/20/2008,10,0,47,10
Harlem River- Washington Bridge,5/15/2012,10,0.5,47,10
Harlem River- Washington Bridge,9/14/2011,10,0,47,10
Harlem River- Washington Bridge,7/19/2011,10,0.1,47,10
Harlem River- Washington Bridge,6/15/2010,10,0.3,47,10
Harlem River- Washington Bridge,9/14/2009,10,0.8,47,10
Harlem River- Washington Bridge,9/24/2008,10,0,47,10
Harlem River- Washington Bridge,8/19/2008,10,0,47,10
Harlem River- Washington Bridge,9/11/2010,10,0,47,10
North River STP at 145th,5/21/2010,10,1.1,47,10
North River STP at 145th,7/21/2010,10,0.1,47,10
North River STP at 145th,8/17/2010,10,0.3,47,10
North River STP at 145th,10/20/2008,10,0,47,10
North River STP at 145th,8/20/2009,10,0.6,47,10
125th St. Pier,9/10/2012,10,0.4,66,10
125th St. Pier,6/11/2012,10,0,66,10
125th St. Pier,7/17/2013,10,0,66,10
Harlem River- Willis Ave. Bridge,9/11/2010,10,0,47,10
Harlem River- Willis Ave. Bridge,5/31/2013,10,0.5,47,10
Harlem River- Willis Ave. Bridge,9/10/2012,10,0.4,47,10
Harlem River- Willis Ave. Bridge,7/16/2012,10,0.3,47,10
Harlem River- Willis Ave. Bridge,10/16/2013,10,0,47,10
Harlem River- Willis Ave. Bridge,5/21/2010,10,1.1,47,10
Harlem River- Willis Ave. Bridge,10/19/2009,10,0.4,47,10
Harlem River- Willis Ave. Bridge,10/20/2008,10,0,47,10
Harlem River- Willis Ave. Bridge,7/2/2008,10,0.6,47,10
Harlem River- Willis Ave. Bridge,5/19/2008,10,1,47,10
79th St. mid-channel,6/27/2011,10,0,49,10
79th St. mid-channel,8/20/2009,10,0.6,49,10
79th St. mid-channel,7/25/2009,10,0.4,49,10
79th St. mid-channel,5/12/2009,10,0.6,49,10
79th St. mid-channel,9/24/2008,10,0,49,10
79th St. mid-channel,10/10/2012,10,0.5,49,10
79th St. mid-channel,5/19/2008,10,1,49,10
79th St. mid-channel,6/19/2013,10,0.2,49,10
79th St. mid-channel,8/14/2013,10,1,49,10
79th St. mid-channel,9/18/2013,10,0,49,10
Pier 96 Kayak Launch,10/16/2013,10,0,39,10
Pier 96 Kayak Launch,8/14/2013,10,1,39,10
Pier 96 Kayak Launch,7/17/2013,10,0,39,10
Pier 96 Kayak Launch,5/19/2008,10,1,39,10
Pier 96 Kayak Launch,6/15/2010,10,0.3,39,10
Pier 96 Kayak Launch,10/19/2009,10,0.4,39,10
Pier 96 Kayak Launch,9/10/2012,10,0.4,39,10
East River mid-channel at Roosevelt Is.,10/20/2008,10,0,48,10
East River mid-channel at Roosevelt Is.,5/12/2009,10,0.6,48,10
East River mid-channel at Roosevelt Is.,5/21/2010,10,1.1,48,10
East River mid-channel at Roosevelt Is.,10/19/2009,10,0.4,48,10
East River mid-channel at Roosevelt Is.,9/14/2011,10,0,48,10
East River mid-channel at Roosevelt Is.,5/15/2012,10,0.5,48,10
East River mid-channel at Roosevelt Is.,9/10/2012,10,0.4,48,10
"Castle Point, NJ",8/16/2011,10,6.4,39,10
"Castle Point, NJ",8/20/2009,10,0.6,39,10
"Castle Point, NJ",10/16/2013,10,0,39,10
"Castle Point, NJ",7/2/2008,10,0.6,39,10
"Castle Point, NJ",8/19/2008,10,0,39,10
"Castle Point, NJ",9/11/2010,10,0,39,10
"Castle Point, NJ",6/27/2011,10,0,39,10
Newtown Creek- Dutch Kills,10/16/2013,10,0,57,10
Newtown Creek- Dutch Kills,7/17/2013,10,0,57,10
Newtown Creek- Dutch Kills,9/11/2010,10,0,57,10
Newtown Creek- Dutch Kills,10/9/2009,10,0.2,57,10
Newtown Creek- Dutch Kills,9/14/2009,10,0.8,57,10
Newtown Creek- Dutch Kills,10/20/2008,10,0,57,10
Newtown Creek- Dutch Kills,7/19/2011,10,0.1,57,10
East River mid-channel at 23rd St.,7/28/2009,10,2,50,10
East River mid-channel at 23rd St.,5/12/2009,10,0.6,50,10
East River mid-channel at 23rd St.,10/20/2008,10,0,50,10
East River mid-channel at 23rd St.,10/16/2013,10,0,50,10
East River mid-channel at 23rd St.,7/17/2013,10,0,50,10
East River mid-channel at 23rd St.,6/19/2013,10,0.2,50,10
East River mid-channel at 23rd St.,6/11/2012,10,0,50,10
East River mid-channel at 23rd St.,5/21/2010,10,1.1,50,10
Newtown Creek- Metropolitan Ave. Bridge,6/15/2010,10,0.3,57,10
Newtown Creek- Metropolitan Ave. Bridge,10/20/2008,10,0,57,10
Newtown Creek- Metropolitan Ave. Bridge,10/19/2009,10,0.4,57,10
Newtown Creek- Metropolitan Ave. Bridge,9/11/2010,10,0,57,10
Newtown Creek- Metropolitan Ave. Bridge,7/19/2011,10,0.1,57,10
Newtown Creek- Metropolitan Ave. Bridge,9/14/2011,10,0,57,10
Newtown Creek- Metropolitan Ave. Bridge,5/31/2013,10,0.5,57,10
The Battery mid-channel,9/10/2012,10,0.4,49,10
The Battery mid-channel,6/27/2011,10,0,49,10
The Battery mid-channel,7/21/2010,10,0.1,49,10
The Battery mid-channel,7/28/2009,10,2,49,10
The Battery mid-channel,5/12/2009,10,0.6,49,10
The Battery mid-channel,6/5/2009,10,2,49,10
Gowanus Canal,6/11/2012,10,0,37,10
Gowanus Canal,5/23/2007,10,0,37,10
Bethlehem Launch Ramp,9/14/2010,9,0,36,9
Castleton,8/21/2011,9,0,35,9
Coxsackie Waterfront Park,10/23/2009,9,0,35,9
Coxsackie Waterfront Park,7/21/2012,9,0.2,35,9
Gay's Point mid-channel,9/15/2012,9,0.1,36,9
Gay's Point mid-channel,10/21/2013,9,0.2,36,9
Hudson Landing Ramp,9/17/2008,9,0.3,37,9
Catskill Launch Ramp,6/18/2008,9,1,37,9
Catskill Creek- East End,9/14/2012,9,0,42,9
Inbocht Bay,10/22/2009,9,0,36,9
Inbocht Bay,7/17/2008,9,0.1,36,9
Malden Launch Ramp,9/14/2012,9,0,36,9
Malden Launch Ramp,5/15/2009,9,0.5,36,9
Malden Launch Ramp,8/8/2008,9,1.5,36,9
Esopus Creek West,5/19/2012,9,0,42,9
Esopus Creek West,6/11/2009,9,1.1,42,9
Esopus Creek Entrance,10/22/2009,9,0,43,9
Esopus Creek Entrance,10/20/2013,9,0.1,43,9
Tivoli Landing,7/20/2012,9,0.6,37,9
Ulster Landing Beach,8/17/2012,9,0.4,36,9
Kingston Point Beach,10/19/2013,9,0,43,9
Rondout- Eddyville Anchorage,10/22/2008,9,0,45,9
Norrie Point Yacht Basin,8/18/2013,9,0,36,9
Norrie Point Yacht Basin,5/24/2010,9,0,36,9
Poughkeepsie Launch Ramp,7/16/2008,9,0.6,37,9
Marlboro Landing,10/19/2013,9,0,35,9
Wappingers Creek,6/14/2012,9,0.5,35,9
Wappingers Creek,10/21/2009,9,0.2,35,9
Wappingers Creek,8/19/2011,9,0.2,35,9
Beacon Harbor,8/17/2013,9,0,38,9
Little Stony Point,7/19/2012,9,0.2,38,9
West Point STP Outfall,6/9/2009,9,0.9,36,9
Fort Montgomery,6/1/2013,9,0,36,9
Peekskill Riverfront Green Park,8/23/2007,9,1.4,42,9
Stony Point mid-channel,7/15/2008,9,1.1,44,9
Stony Point mid-channel,5/17/2009,9,0.5,44,9
Haverstraw Bay mid-channel,6/28/2007,9,0.7,48,9
Emeline Beach- Haverstraw,7/15/2008,9,1.1,38,9
Upper Sparkill Creek,3/5/2009,9,0.3,165,9
Upper Sparkill Creek,3/5/2012,9,0.2,165,9
North River STP at 145th,6/18/2007,9,0,47,9
Mohawk River at Waterford,9/18/2008,8,0,35,8
Bethlehem Launch Ramp,10/23/2008,8,0.3,36,8
Castleton,8/21/2010,8,0.2,35,8
Castleton,9/15/2012,8,0.1,35,8
Coeymans Landing,7/17/2008,8,0.1,36,8
Coeymans Landing,8/21/2010,8,0.2,36,8
Coeymans Landing,5/15/2009,8,0.5,36,8
Coxsackie Waterfront Park,9/17/2008,8,0.3,35,8
Gay's Point mid-channel,9/14/2010,8,0,36,8
Gay's Point mid-channel,10/23/2009,8,0,36,8
Gay's Point mid-channel,9/21/2013,8,0,36,8
Athens,5/25/2010,8,0,35,8
Hudson Landing Ramp,7/21/2012,8,0.2,37,8
Hudson Landing Ramp,5/22/2008,8,0.2,37,8
Catskill Creek- First Bridge,7/24/2012,8,0.3,38,8
Catskill Launch Ramp,8/21/2010,8,0.2,37,8
Catskill Creek- East End,6/15/2012,8,0.7,42,8
Catskill Creek- East End,6/24/2013,8,0,42,8
Esopus Creek West,10/20/2013,8,0.1,42,8
Ulster Landing Beach,7/1/2011,8,0.5,36,8
Kingston Point Beach,10/22/2009,8,0,43,8
Kingston Point Beach,5/14/2009,8,0.1,43,8
Rondout- Eddyville Anchorage,7/16/2008,8,0.6,45,8
Port Ewen Drinking Water Intake,9/13/2012,8,0,37,8
Norrie Point mid-channel,6/2/2013,8,0,36,8
Poughkeepsie Drinking Water Intake,8/17/2013,8,0,38,8
Wappingers Creek,7/19/2012,8,0.2,35,8
Beacon Harbor,8/22/2009,8,0.6,38,8
Beacon Harbor,8/3/2009,8,1.7,38,8
Newburgh Launch Ramp,5/18/2012,8,0.3,38,8
Little Stony Point,6/1/2013,8,0,38,8
West Point STP Outfall,10/13/2012,8,0,36,8
Fort Montgomery,8/17/2013,8,0,36,8
Furnace Brook,7/16/2007,8,0,48,8
Cedar Pond Brook,5/13/2009,8,0,47,8
Harlem River- Washington Bridge,5/23/2007,8,0,47,8
125th St. Pier,5/31/2007,8,0,66,8
East River mid-channel at Roosevelt Is.,6/18/2007,8,0,48,8
Newtown Creek- Metropolitan Ave. Bridge,9/26/2006,8,0.1,57,8
Congress St. Bridge- Troy,8/18/2012,7,0.3,38,7
Congress St. Bridge- Troy,10/23/2008,7,0.3,38,7
Albany Rowing Dock,5/25/2010,7,0,36,7
Bethlehem Launch Ramp,8/18/2012,7,0.3,36,7
Bethlehem Launch Ramp,8/19/2013,7,0,36,7
Castleton,8/18/2012,7,0.3,35,7
Coeymans Landing,10/15/2012,7,1,36,7
Coeymans Landing,8/19/2013,7,0,36,7
Coxsackie Waterfront Park,6/18/2008,7,1.4,35,7
Gay's Point mid-channel,7/17/2008,7,0.1,36,7
Athens,5/15/2009,7,0.5,35,7
Hudson Landing Ramp,6/16/2012,7,0.2,37,7
Hudson Landing Ramp,8/20/2011,7,0,37,7
Hudson Landing Ramp,5/15/2009,7,0.5,37,7
Catskill Creek- First Bridge,10/15/2012,7,1,38,7
Catskill Creek- First Bridge,5/15/2009,7,0.5,38,7
Inbocht Bay,6/18/2010,7,0.2,36,7
Malden Launch Ramp,7/15/2011,7,0.3,36,7
Esopus Creek Entrance,10/22/2008,7,0,43,7
Tivoli Landing,10/22/2009,7,0,37,7
Kingston Point Beach,7/20/2012,7,0.6,43,7
Rondout- Kingston Public Dock,10/22/2008,7,0,39,7
Port Ewen Drinking Water Intake,10/14/2012,7,0,37,7
Port Ewen Drinking Water Intake,9/13/2010,7,0,37,7
Norrie Point Yacht Basin,5/21/2008,7,0.1,36,7
Poughkeepsie Drinking Water Intake,10/15/2010,7,1.5,38,7
Poughkeepsie Launch Ramp,8/20/2010,7,0,37,7
Marlboro Landing,8/17/2013,7,0,35,7
Marlboro Landing,6/14/2012,7,0.5,35,7
Marlboro Landing,8/20/2010,7,0,35,7
Marlboro Landing,7/19/2012,7,0.2,35,7
Wappingers Creek,5/18/2012,7,0.3,35,7
Wappingers Creek,7/19/2013,7,0.1,35,7
Beacon Harbor,9/20/2013,7,0,38,7
Beacon Harbor,5/23/2010,7,0,38,7
Little Stony Point,9/20/2013,7,0,38,7
Little Stony Point,8/15/2012,7,0.4,38,7
Cold Spring Harbor,10/13/2012,7,0,35,7
West Point STP Outfall,7/19/2012,7,0.2,36,7
West Point STP Outfall,8/17/2013,7,0,36,7
Stony Point mid-channel,8/23/2007,7,1.4,44,7
Stony Point mid-channel,6/16/2008,7,1.7,44,7
Cedar Pond Brook,5/21/2007,7,0.2,47,7
Piermont Pier,8/23/2007,7,1.4,187,7
Orangetown STP Outfall,9/26/2006,7,0.1,57,7
Upper Sparkill Creek,3/25/2009,7,0,165,7
Upper Sparkill Creek,2/16/2009,7,0,165,7
Hudson above Mohawk River,8/19/2013,6,0,35,6
Hudson above Mohawk River,7/21/2012,6,0.2,35,6
Hudson above Mohawk River,5/15/2009,6,0.5,35,6
Hudson above Mohawk River,9/18/2008,6,0,35,6
Congress St. Bridge- Troy,7/21/2012,6,0.2,38,6
Dunn Memorial Bridge- Albany,7/17/2008,6,0.1,38,6
Island Creek/Normans Kill,5/25/2010,6,0,35,6
Bethlehem Launch Ramp,7/21/2012,6,0.2,36,6
Castleton,7/17/2008,6,0.1,35,6
Coeymans Landing,7/14/2011,6,0.3,36,6
Coeymans Landing,10/23/2009,6,0,36,6
Coeymans Landing,6/16/2012,6,0.2,36,6
Coxsackie Waterfront Park,9/21/2013,6,0,35,6
Coxsackie Waterfront Park,8/19/2013,6,0,35,6
Gay's Point mid-channel,8/21/2011,6,0,36,6
Gay's Point mid-channel,6/12/2009,6,1.2,36,6
Athens,9/15/2012,6,0.1,35,6
Athens,10/23/2009,6,0,35,6
Hudson Landing Ramp,7/14/2011,6,0.3,37,6
Catskill Creek- First Bridge,10/20/2013,6,0.2,38,6
Catskill Launch Ramp,8/20/2011,6,0,37,6
Catskill Launch Ramp,6/18/2010,6,0.2,37,6
Catskill Launch Ramp,7/17/2008,6,0.1,37,6
Catskill Creek- East End,5/16/2009,6,0.5,42,6
Inbocht Bay,7/20/2012,6,0.2,36,6
Malden Launch Ramp,10/22/2009,6,0,36,6
Esopus Creek Entrance,6/19/2012,6,0,43,6
Esopus Creek Entrance,7/19/2010,6,0,43,6
Tivoli Landing,8/20/2010,6,0,37,6
Ulster Landing Beach,8/8/2008,6,0.8,36,6
Rondout- Kingston Public Dock,7/16/2008,6,0.6,39,6
Rondout- Kingston Public Dock,7/20/2013,6,0.1,39,6
Norrie Point Yacht Basin,10/22/2008,6,0,36,6
Norrie Point Yacht Basin,5/14/2009,6,0.1,36,6
Norrie Point mid-channel,6/30/2011,6,0.5,36,6
Poughkeepsie Drinking Water Intake,10/19/2013,6,0,38,6
Poughkeepsie Drinking Water Intake,6/2/2013,6,0,38,6
Poughkeepsie Drinking Water Intake,9/16/2009,6,0,38,6
Poughkeepsie Drinking Water Intake,6/17/2008,6,1,38,6
Poughkeepsie Launch Ramp,9/20/2013,6,0,37,6
Wappingers Creek,5/14/2009,6,0.1,35,6
Wappingers Creek,8/23/2009,6,0.6,35,6
Beacon Harbor,5/14/2009,6,0.1,38,6
Little Stony Point,6/17/2010,6,0,38,6
Little Stony Point,6/29/2011,6,0.5,38,6
Cold Spring Harbor,9/13/2012,6,0,35,6
Cold Spring Harbor,8/19/2010,6,1,35,6
Cold Spring Harbor,5/14/2009,6,0.1,35,6
West Point STP Outfall,6/17/2010,6,0,36,6
Fort Montgomery,10/22/2008,6,0,36,6
Furnace Brook,5/13/2009,6,0,48,6
Furnace Brook,6/20/2007,6,0.4,48,6
Cedar Pond Brook,5/20/2008,6,0.6,47,6
Haverstraw Bay mid-channel,5/13/2009,6,0,48,6
Haverstraw Bay mid-channel,5/20/2008,6,0.3,48,6
Ossining Beach,6/16/2008,6,1.7,47,6
Ossining Beach,7/16/2007,6,0,47,6
TZ Bridge mid-channel,6/16/2008,6,1.7,57,6
Yonkers mid-channel,11/10/2006,6,3.6,52,6
Yonkers STP Outfall,5/23/2007,6,0,51,6
GW Bridge mid-channel,8/16/2007,6,0,49,6
79th St. mid-channel,8/16/2007,6,0,49,6
East River mid-channel at 23rd St.,6/18/2007,6,0,50,6
Gowanus Canal,6/18/2007,6,0,37,6
Bethlehem Launch Ramp,5/22/2008,5,0.2,36,5
Castleton,10/23/2008,5,0.3,35,5
Castleton,7/21/2012,5,0.2,35,5
Castleton,7/19/2010,5,0.7,35,5
Castleton,9/21/2013,5,0,35,5
Coeymans Landing,10/21/2013,5,0.2,36,5
Coxsackie Waterfront Park,5/15/2009,5,0.5,35,5
Gay's Point mid-channel,7/19/2010,5,0.7,36,5
Athens,8/21/2010,5,0.2,35,5
Catskill Creek- First Bridge,7/21/2013,5,0,38,5
Catskill Creek- First Bridge,10/23/2009,5,0,38,5
Catskill Creek- First Bridge,7/17/2008,5,0.1,38,5
Catskill Launch Ramp,9/14/2012,5,0,37,5
Catskill Launch Ramp,8/18/2012,5,0.3,37,5
Catskill Creek- East End,9/17/2012,5,0.1,42,5
Inbocht Bay,8/17/2012,5,0.3,36,5
Malden Launch Ramp,7/19/2010,5,0.7,36,5
Esopus Creek West,8/17/2012,5,0.4,42,5
Esopus Creek West,10/22/2009,5,0,42,5
Esopus Creek West,8/8/2008,5,0.8,42,5
Esopus Creek West,7/19/2010,5,0,42,5
Esopus Creek Entrance,7/1/2011,5,0.5,43,5
Esopus Creek Entrance,5/24/2010,5,0,43,5
Tivoli Landing,6/18/2010,5,0,37,5
Tivoli Landing,8/18/2013,5,0,37,5
Ulster Landing Beach,5/19/2012,5,0,36,5
Rondout- Kingston Public Dock,7/16/2011,5,0,39,5
Rondout- Eddyville Anchorage,8/8/2008,5,0.3,45,5
Rondout- Eddyville Anchorage,7/20/2013,5,0.1,45,5
Rondout- Eddyville Anchorage,9/20/2013,5,0,45,5
Port Ewen Drinking Water Intake,10/22/2008,5,0,37,5
Port Ewen Drinking Water Intake,8/19/2011,5,0.2,37,5
Norrie Point Yacht Basin,10/19/2013,5,0,36,5
Norrie Point mid-channel,9/13/2010,5,0,36,5
Poughkeepsie Drinking Water Intake,8/16/2012,5,0.4,38,5
Poughkeepsie Drinking Water Intake,8/20/2010,5,0,38,5
Poughkeepsie Drinking Water Intake,6/17/2010,5,0,38,5
Poughkeepsie Launch Ramp,10/22/2009,5,0,37,5
Poughkeepsie Launch Ramp,8/16/2012,5,0.4,37,5
Poughkeepsie Launch Ramp,7/19/2013,5,0.1,37,5
Marlboro Landing,10/21/2009,5,0.2,35,5
Marlboro Landing,5/24/2010,5,0,35,5
Marlboro Landing,6/2/2013,5,0,35,5
Wappingers Creek,10/19/2013,5,0,35,5
Wappingers Creek,10/22/2008,5,0,35,5
Little Stony Point,5/17/2009,5,1.5,38,5
West Point STP Outfall,9/20/2013,5,0,36,5
West Point STP Outfall,10/21/2009,5,0.2,36,5
West Point STP Outfall,5/18/2012,5,0.3,36,5
West Point STP Outfall,7/30/2009,5,0.5,36,5
Annesville Creek,5/13/2009,5,0,38,5
Haverstraw Bay mid-channel,6/16/2008,5,1.7,48,5
Haverstraw Bay mid-channel,6/20/2007,5,0.4,48,5
Emeline Beach- Haverstraw,5/13/2009,5,0,38,5
Piermont Pier,6/20/2008,5,0.6,187,5
Orangetown STP Outfall,7/16/2007,5,0,57,5
GW Bridge mid-channel,5/23/2007,5,0,49,5
North River STP at 145th,5/23/2007,5,0,47,5
Pier 96 Kayak Launch,7/2/2008,5,0.6,39,5
Newtown Creek- Dutch Kills,9/6/2007,5,0,57,5
East River mid-channel at 23rd St.,5/23/2007,5,0,50,5
Newtown Creek- Metropolitan Ave. Bridge,9/6/2007,5,0,57,5
The Battery mid-channel,7/14/2008,5,0.5,49,5
Hudson above Mohawk River,10/21/2013,4,0.2,35,4
Hudson above Mohawk River,10/23/2009,4,0,35,4
Mohawk River at Waterford,7/2/2011,4,2.1,35,4
Hudson River above Troy Lock,10/23/2008,4,0.3,37,4
Bethlehem Launch Ramp,6/16/2012,4,0.2,36,4
Bethlehem Launch Ramp,7/14/2011,4,0.3,36,4
Bethlehem Launch Ramp,7/21/2013,4,0,36,4
Castleton,9/17/2008,4,0.3,35,4
Gay's Point mid-channel,6/16/2012,4,0.2,36,4
Gay's Point mid-channel,5/25/2010,4,0,36,4
Hudson Landing Ramp,9/15/2012,4,0.1,37,4
Hudson Landing Ramp,5/25/2010,4,0,37,4
Hudson Landing Ramp,10/23/2009,4,0,37,4
Catskill Creek- First Bridge,9/14/2012,4,0,38,4
Catskill Creek- First Bridge,10/23/2008,4,0.3,38,4
Catskill Creek- First Bridge,7/1/2011,4,2.3,38,4
Catskill Creek- First Bridge,5/25/2010,4,0,38,4
Catskill Launch Ramp,10/23/2008,4,0.3,37,4
Catskill Launch Ramp,9/16/2008,4,0.4,37,4
Catskill Creek- East End,5/15/2009,4,0.5,42,4
Catskill Creek- East End,5/25/2010,4,0,42,4
Catskill Creek- East End,7/19/2010,4,0.7,42,4
Inbocht Bay,10/14/2012,4,1,36,4
